Family,Core,Additional,Surface Chemistry,Shape,Size,Charge,Dose
1,1,1,1,1,1.5,1,1.60E-08
1,1,1,1,1,1.5,1,8.00E-08
1,1,1,1,1,1.5,1,4.00E-07
1,1,1,1,1,1.5,1,2.00E-06
1,1,1,1,1,1.5,1,1.00E-05
1,1,1,1,1,1.5,1,5.00E-05
1,1,1,1,1,1.5,1,0.00025
1,1,1,2,1,0.8,2,1.60E-08
1,1,1,2,1,0.8,2,8.00E-08
1,1,1,2,1,0.8,2,4.00E-07
1,1,1,2,1,0.8,2,2.00E-06
1,1,1,2,1,0.8,2,1.00E-05
1,1,1,2,1,0.8,2,5.00E-05
1,1,1,2,1,0.8,2,0.00025
1,1,1,3,1,0.8,3,1.60E-08
1,1,1,3,1,0.8,3,8.00E-08
1,1,1,3,1,0.8,3,4.00E-07
1,1,1,3,1,0.8,3,2.00E-06
1,1,1,3,1,0.8,3,1.00E-05
1,1,1,3,1,0.8,3,5.00E-05
1,1,1,3,1,0.8,3,0.00025
1,1,1,1,1,0.8,1,1.60E-08
1,1,1,1,1,0.8,1,8.00E-08
1,1,1,1,1,0.8,1,4.00E-07
1,1,1,1,1,0.8,1,2.00E-06
1,1,1,1,1,0.8,1,1.00E-05
1,1,1,1,1,0.8,1,5.00E-05
1,1,1,1,1,0.8,1,0.00025
1,1,1,2,1,1.5,2,1.60E-08
1,1,1,2,1,1.5,2,8.00E-08
1,1,1,2,1,1.5,2,4.00E-07
1,1,1,2,1,1.5,2,2.00E-06
1,1,1,2,1,1.5,2,1.00E-05
1,1,1,2,1,1.5,2,5.00E-05
1,1,1,2,1,1.5,2,0.00025
1,1,1,2,1,1.5,2,1.60E-08
1,1,1,2,1,1.5,2,8.00E-08
1,1,1,2,1,1.5,2,4.00E-07
1,1,1,2,1,1.5,2,2.00E-06
1,1,1,2,1,1.5,2,1.00E-05
1,1,1,2,1,1.5,2,5.00E-05
1,1,1,2,1,1.5,2,0.00025
1,1,1,2,1,1.5,2,1.60E-08
1,1,1,2,1,1.5,2,8.00E-08
1,1,1,2,1,1.5,2,4.00E-07
1,1,1,2,1,1.5,2,2.00E-06
1,1,1,2,1,1.5,2,1.00E-05
1,1,1,2,1,1.5,2,5.00E-05
1,1,1,2,1,1.5,2,0.00025
1,1,1,3,1,1.5,3,1.60E-08
1,1,1,3,1,1.5,3,8.00E-08
1,1,1,3,1,1.5,3,4.00E-07
1,1,1,3,1,1.5,3,2.00E-06
1,1,1,3,1,1.5,3,1.00E-05
1,1,1,3,1,1.5,3,5.00E-05
