ID,Family,Core,Additional,Surface Chemistry,Shape,Size,Charge,Dose,Toxicity
nbi_0001,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,1.5,0,1.60E-08,0
nbi_0001,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,1.5,0,8.00E-08,0
nbi_0001,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,1.5,0,4.00E-07,0
nbi_0001,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,1.5,0,2.00E-06,0
nbi_0001,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,1.5,0,1.00E-05,0.05
nbi_0001,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,1.5,0,5.00E-05,0.09
nbi_0001,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,1.5,0,0.00025,0.09
nbi_0002,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,0.8,+,1.60E-08,0.04
nbi_0002,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,0.8,+,8.00E-08,0.16
nbi_0002,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,0.8,+,4.00E-07,0.29
nbi_0002,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,0.8,+,2.00E-06,0.58
nbi_0002,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,0.8,+,1.00E-05,0.62
nbi_0002,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,0.8,+,5.00E-05,0.83
nbi_0002,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,0.8,+,0.00025,1
nbi_0003,metal,gold [Au],N/A,2-mercaptoethanesulfonate [MES],spherical,0.8,-,1.60E-08,0
nbi_0003,metal,gold [Au],N/A,2-mercaptoethanesulfonate [MES],spherical,0.8,-,8.00E-08,0
nbi_0003,metal,gold [Au],N/A,2-mercaptoethanesulfonate [MES],spherical,0.8,-,4.00E-07,0
nbi_0003,metal,gold [Au],N/A,2-mercaptoethanesulfonate [MES],spherical,0.8,-,2.00E-06,0.04
nbi_0003,metal,gold [Au],N/A,2-mercaptoethanesulfonate [MES],spherical,0.8,-,1.00E-05,0.07
nbi_0003,metal,gold [Au],N/A,2-mercaptoethanesulfonate [MES],spherical,0.8,-,5.00E-05,0.07
nbi_0003,metal,gold [Au],N/A,2-mercaptoethanesulfonate [MES],spherical,0.8,-,0.00025,0.15
nbi_0004,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,0.8,0,1.60E-08,0
nbi_0004,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,0.8,0,8.00E-08,0.04
nbi_0004,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,0.8,0,4.00E-07,0
nbi_0004,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,0.8,0,2.00E-06,0.04
nbi_0004,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,0.8,0,1.00E-05,0.04
nbi_0004,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,0.8,0,5.00E-05,0.05
nbi_0004,metal,gold [Au],N/A,2-(2-mercaptoethoxy)ethanol [MEE],spherical,0.8,0,0.00025,0.1
nbi_0005,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,1.5,+,1.60E-08,0
nbi_0005,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,1.5,+,8.00E-08,0.14
nbi_0005,metal,gold [Au],N/A,"N,N,N-trimethylammoniumethanethiol [TMAT]",spherical,1.5,+,4.00E-07,0.16
